epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,121.042,0.49273,0.8193,1,0.36482,0.000550375,0.000550375,0.000550375
2,275.361,0.35972,0.83368,1,0.51561,0.00109509,0.00109509,0.00109509
3,390.683,0.36758,0.83984,1,0.55944,0.00162881,0.00162881,0.00162881
4,537.367,0.3276,0.9076,1,0.27285,0.00161749,0.00161749,0.00161749
5,692.621,0.29743,0.8809,1,0.38002,0.00160099,0.00160099,0.00160099
6,846.678,0.28187,0.87269,1,0.29671,0.00158448,0.00158448,0.00158448
7,985.007,0.25124,0.87064,1,0.48467,0.00156798,0.00156798,0.00156798
8,1063.39,0.22777,0.92402,1,0.20767,0.00155148,0.00155148,0.00155148
9,1135.79,0.23425,0.87885,1,0.40453,0.00153497,0.00153497,0.00153497
10,1209.36,0.19819,0.90965,1,0.21602,0.00151847,0.00151847,0.00151847
11,1282.35,0.19092,0.92402,1,0.2159,0.00150197,0.00150197,0.00150197
12,1356.07,0.18569,0.90349,1,0.2848,0.00148546,0.00148546,0.00148546
13,1433.26,0.13655,0.94045,1,0.18037,0.00146896,0.00146896,0.00146896
14,1509.56,0.18443,0.92813,1,0.20745,0.00145246,0.00145246,0.00145246
15,1594.64,0.14974,0.91786,1,0.21034,0.00143595,0.00143595,0.00143595
16,1682.47,0.13755,0.92402,1,0.28249,0.00141945,0.00141945,0.00141945
17,1769.58,0.15109,0.90554,1,0.21969,0.00140295,0.00140295,0.00140295
18,1856.97,0.13752,0.94251,1,0.20822,0.00138644,0.00138644,0.00138644
19,1942.48,0.13998,0.92197,1,0.25046,0.00136994,0.00136994,0.00136994
20,2028.3,0.11098,0.9384,1,0.18603,0.00135344,0.00135344,0.00135344
21,2113.05,0.12953,0.90554,1,0.33991,0.00133693,0.00133693,0.00133693
22,2201.5,0.14036,0.93224,1,0.18748,0.00132043,0.00132043,0.00132043
23,2285.73,0.10781,0.91581,1,0.37736,0.00130393,0.00130393,0.00130393
24,2371.12,0.12476,0.94867,1,0.14844,0.00128742,0.00128742,0.00128742
25,2456.5,0.09586,0.93429,1,0.1607,0.00127092,0.00127092,0.00127092
26,2542.51,0.09515,0.93018,1,0.38121,0.00125442,0.00125442,0.00125442
27,2626.56,0.09321,0.93429,1,0.25513,0.00123791,0.00123791,0.00123791
28,2714.3,0.08535,0.92813,1,0.21851,0.00122141,0.00122141,0.00122141
29,2800.81,0.08259,0.94045,1,0.21669,0.00120491,0.00120491,0.00120491
30,2886.06,0.09379,0.94251,1,0.24086,0.0011884,0.0011884,0.0011884
31,2971.79,0.08634,0.93634,1,0.28218,0.0011719,0.0011719,0.0011719
32,3056.5,0.11093,0.91786,1,0.26776,0.0011554,0.0011554,0.0011554
33,3140.61,0.08285,0.92402,1,0.3737,0.00113889,0.00113889,0.00113889
34,3226.61,0.07123,0.9384,1,0.24308,0.00112239,0.00112239,0.00112239
35,3312.25,0.06834,0.93224,1,0.20634,0.00110589,0.00110589,0.00110589
36,3397.91,0.08402,0.93634,1,0.21559,0.00108938,0.00108938,0.00108938
37,3484.13,0.06086,0.93634,1,0.23486,0.00107288,0.00107288,0.00107288
38,3570.69,0.06864,0.92608,1,0.25608,0.00105638,0.00105638,0.00105638
39,3657.92,0.07847,0.9384,1,0.18858,0.00103987,0.00103987,0.00103987
